# Kaimal 1972 / Eurocode 1
time_s,U_ms,u_turbulent_ms,F_drag_N
29.3500,16.1486,-3.8514,958.3563
29.4000,16.2036,-3.7964,964.8938
29.4500,16.9801,-3.0199,1059.5955
29.5000,18.5302,-1.4698,1261.8806
29.5500,17.0437,-2.9563,1067.5446
29.6000,16.0175,-3.9825,942.8545
29.6500,18.4706,-1.5294,1253.7698
29.7000,20.0072,0.0072,1471.0572
29.7500,21.0061,1.0061,1621.6104
29.8000,19.7919,-0.2081,1439.5709
29.8500,20.1859,0.1859,1497.4484
29.9000,19.9561,-0.0439,1463.5491
29.9500,20.7803,0.7803,1586.9426
30.0000,20.9889,0.9889,1618.9589
30.0500,20.5085,0.5085,1545.7000
30.1000,23.2037,3.2037,1978.6688
30.1500,24.6849,4.6849,2239.3416
30.2000,24.6857,4.6857,2239.4831
30.2500,22.7931,2.7931,1909.2575
30.3000,23.1640,3.1640,1971.9009
30.3500,22.9001,2.9001,1927.2270
30.4000,23.6905,3.6905,2062.5505
30.4500,25.0070,5.0070,2298.1641
30.5000,26.9844,6.9844,2675.9758
30.5500,27.4619,7.4619,2771.5181
30.6000,24.2914,4.2914,2168.5066
30.6500,24.4147,4.4147,2190.5775
30.7000,23.9751,3.9751,2112.4155
30.7500,26.3266,6.3266,2547.0981
30.8000,23.6222,3.6222,2050.6751
30.8500,24.3466,4.3466,2178.3862
30.9000,27.6493,7.6493,2809.4767
30.9500,28.0350,8.0350,2888.4115
31.0000,27.8572,7.8572,2851.8931
31.0500,27.3561,7.3561,2750.2097
31.1000,27.8576,7.8576,2851.9618
31.1500,26.6480,6.6480,2609.6769
31.2000,27.1264,7.1264,2704.2170
31.2500,24.2730,4.2730,2165.2233
31.3000,23.2599,3.2599,1988.2633
31.3500,22.1477,2.1477,1802.6621
31.4000,25.1723,5.1723,2328.6471
31.4500,27.6914,7.6914,2818.0344
31.5000,25.2829,5.2829,2349.1595
31.5500,27.2266,7.2266,2724.2368
31.6000,26.5422,6.5422,2588.9910
31.6500,25.8182,5.8182,2449.6877
31.7000,24.2447,4.2447,2160.1765
31.7500,22.9895,2.9895,1942.3062
31.8000,22.6504,2.6504,1885.4268
31.8500,22.9891,2.9891,1942.2411
31.9000,22.1535,2.1535,1803.6144
31.9500,21.8128,1.8128,1748.5656
32.0000,23.9379,3.9379,2105.8517
32.0500,22.8284,2.8284,1915.1663
32.1000,20.9873,0.9873,1618.7095
32.1500,20.1923,0.1923,1498.3995
32.2000,21.9889,1.9889,1776.9089
32.2500,25.2949,5.2949,2351.3803
